"","Sample_name","Sample_type","Host","Qubit","Sub_conc","Wet_weight","Dry_weight","Percent_dry","EPG","Reads","Dry_weight_EPG","L3_count_sum","Number_of_L3_counts","Wet_weight_dc_egg_count","DC_egg_count"
"BZ01F","BZ01F","Fecal","BZ01",45.4,5,7.5,2.2,0.2933,176,20914,51.6208,23,3,3.1,251
"BZ01L","BZ01L","Larva","BZ01",5.2,5,7.5,2.2,0.2933,176,16956,51.6208,23,3,3.1,251
"BZ01S","BZ01S","Swab","BZ01",1.98,1.98,7.5,2.2,0.2933,176,389,51.6208,23,3,3.1,251
"BZ02F","BZ02F","Fecal","BZ02",49.5,5,7.52,2.47,0.3285,40,9404,13.14,0,4,3.01,40
"BZ02L","BZ02L","Larva","BZ02",NA,0,7.52,2.47,0.3285,40,12458,13.14,0,4,3.01,40
"BZ02S","BZ02S","Swab","BZ02",3.91,3.91,7.52,2.47,0.3285,40,19460,13.14,0,4,3.01,40
"BZ03F","BZ03F","Fecal","BZ03",56.4,5,7.75,2.49,0.3213,16,5288,5.1408,12,4,3.08,56
"BZ03L","BZ03L","Larva","BZ03",6.69,5,7.75,2.49,0.3213,16,21959,5.1408,12,4,3.08,56
"BZ03S","BZ03S","Swab","BZ03",1.37,1.37,7.75,2.49,0.3213,16,26354,5.1408,12,4,3.08,56
"BZ04F","BZ04F","Fecal","BZ04",47.2,5,11.37,2.94,0.259,200,15820,51.8,17,4,3,323
"BZ04L","BZ04L","Larva","BZ04",0.182,0.182,11.37,2.94,0.259,200,20229,51.8,17,4,3,323
"BZ04S","BZ04S","Swab","BZ04",4.47,4.47,11.37,2.94,0.259,200,14378,51.8,17,4,3,323
"BZ05F","BZ05F","Fecal","BZ05",23.2,5,7.83,3.19,0.4074,32,16528,13.0368,4,2,3.06,16
"BZ05L","BZ05L","Larva","BZ05",1.84,1.84,7.83,3.19,0.4074,32,18105,13.0368,4,2,3.06,16
"BZ05S","BZ05S","Swab","BZ05",3.43,3.43,7.83,3.19,0.4074,32,16268,13.0368,4,2,3.06,16
"BZ06F","BZ06F","Fecal","BZ06",38.5,5,8.27,2.48,0.2999,64,16137,19.1936,75,4,3.08,198
"BZ06L","BZ06L","Larva","BZ06",2.75,2.75,8.27,2.48,0.2999,64,15537,19.1936,75,4,3.08,198
"BZ06S","BZ06S","Swab","BZ06",2.23,2.23,8.27,2.48,0.2999,64,14553,19.1936,75,4,3.08,198
"BZ08F","BZ08F","Fecal","BZ08",37.9,5,7.41,1.94,0.2618,96,7949,25.1328,18,4,3.08,115
"BZ08L","BZ08L","Larva","BZ08",1.1,1.1,7.41,1.94,0.2618,96,21330,25.1328,18,4,3.08,115
"BZ08S","BZ08S","Swab","BZ08",1.78,1.78,7.41,1.94,0.2618,96,26864,25.1328,18,4,3.08,115
"BZ09F","BZ09F","Fecal","BZ09",35.2,5,7.25,1.72,0.2372,16,4143,3.7952,6,4,3.01,5
"BZ09L","BZ09L","Larva","BZ09",1.8,1.8,7.25,1.72,0.2372,16,19042,3.7952,6,4,3.01,5
"BZ09S","BZ09S","Swab","BZ09",1.98,1.98,7.25,1.72,0.2372,16,24244,3.7952,6,4,3.01,5
"BZ10F","BZ10F","Fecal","BZ10",44.5,5,6.91,1.39,0.2012,32,15970,6.4384,6,4,3.09,61
"BZ10L","BZ10L","Larva","BZ10",0.077,0.077,6.91,1.39,0.2012,32,22929,6.4384,6,4,3.09,61
"BZ10S","BZ10S","Swab","BZ10",0.547,0.547,6.91,1.39,0.2012,32,21964,6.4384,6,4,3.09,61
"BZ11F","BZ11F","Fecal","BZ11",46,5,6.94,1.5,0.2161,16,7137,3.4576,8,4,3,60
"BZ11L","BZ11L","Larva","BZ11",0.588,0.588,6.94,1.5,0.2161,16,16204,3.4576,8,4,3,60
"BZ11S","BZ11S","Swab","BZ11",1.47,1.47,6.94,1.5,0.2161,16,16696,3.4576,8,4,3,60
"BZ12F","BZ12F","Fecal","BZ12",64.7,5,7.07,1.94,0.2744,32,3413,8.7808,2,4,3.1,29
"BZ12L","BZ12L","Larva","BZ12",1.03,1.03,7.07,1.94,0.2744,32,23419,8.7808,2,4,3.1,29
"BZ12S","BZ12S","Swab","BZ12",1.94,1.94,7.07,1.94,0.2744,32,21081,8.7808,2,4,3.1,29
"BZ13F","BZ13F","Fecal","BZ13",25,5,6.84,2.09,0.3056,32,17639,9.7792,13,4,3.11,32
"BZ13L","BZ13L","Larva","BZ13",1.65,1.65,6.84,2.09,0.3056,32,21109,9.7792,13,4,3.11,32
"BZ13S","BZ13S","Swab","BZ13",1.41,1.41,6.84,2.09,0.3056,32,201,9.7792,13,4,3.11,32
"BZ14F","BZ14F","Fecal","BZ14",70.3,5,7.12,2.25,0.316,0,0,0,1,4,3.09,2
"BZ14L","BZ14L","Larva","BZ14",7.82,5,7.12,2.25,0.316,0,12168,0,1,4,3.09,2
"BZ14S","BZ14S","Swab","BZ14",2.61,2.61,7.12,2.25,0.316,0,17434,0,1,4,3.09,2
