"","Sample_name","Sample_type","Host","Wet_weight","Dry_weight","Percent_dry","EPG_McM_wet","EPG_McM_dry","Weight_dc_count","Egg_count_DC","EPG_DC_wet","EPG_DC_dry","L3_count_sum","Number_of_L3_counts","Avg_L3_count","Qubit","Sub_conc","Reads","Richness_asv","Richness_sp","Richness_g","Shannon_asv","Shannon_sp","Shannon_g","Evenness_asv","Evenness_sp","Evenness_g"
"1","BZ01F","Fecal","BZ01",7.5,2.2,0.2933,176,51.6208,3.1,251,80.9677419354839,23.7478387096774,23,3,7.66666666666667,45.4,5,20914,34,7,4,2.67394385475209,1.08430559625315,0.762187512501666,0.758272966160528,0.557222848536739,0.549802072256824
"2","BZ01L","Larva","BZ01",7.5,2.2,0.2933,176,51.6208,3.1,251,80.9677419354839,23.7478387096774,23,3,7.66666666666667,5.2,5,16956,48,14,9,2.9151507651359,1.56100378174635,1.29188385363728,0.753035235556582,0.591500519609373,0.587961679913249
"4","BZ02F","Fecal","BZ02",7.52,2.47,0.3285,40,13.14,3.01,40,13.2890365448505,4.36544850498339,0,4,0,49.5,5,9404,13,4,4,2.13242727921454,1.23312690217522,1.23312690217522,0.831372078755171,0.889513033277483,0.889513033277483
"5","BZ02L","Larva","BZ02",7.52,2.47,0.3285,40,13.14,3.01,40,13.2890365448505,4.36544850498339,0,4,0,NA,0,12458,23,7,5,2.51256365377437,1.6437327862592,1.30837776212285,0.8013293856547,0.844711554157415,0.812940811207854
"6","BZ02S","Swab","BZ02",7.52,2.47,0.3285,40,13.14,3.01,40,13.2890365448505,4.36544850498339,0,4,0,3.91,3.91,19460,42,8,5,3.05698977018851,1.81898302114469,1.53706506774774,0.81788656633395,0.874745928022224,0.955032223282907
"7","BZ03F","Fecal","BZ03",7.75,2.49,0.3213,16,5.1408,3.08,56,18.1818181818182,5.84181818181818,12,4,3,56.4,5,5288,14,4,4,2.4064964835576,1.33430418884668,1.33430418884668,0.911877304275326,0.96249701814324,0.96249701814324
"8","BZ03L","Larva","BZ03",7.75,2.49,0.3213,16,5.1408,3.08,56,18.1818181818182,5.84181818181818,12,4,3,6.69,5,21959,53,11,6,3.0426553480555,1.86539087982204,1.54629477969892,0.766355576442568,0.777928419553166,0.86300354833069
"9","BZ03S","Swab","BZ03",7.75,2.49,0.3213,16,5.1408,3.08,56,18.1818181818182,5.84181818181818,12,4,3,1.37,1.37,26354,39,8,6,3.0430921171041,1.64409515686167,1.35642178554388,0.830637617445024,0.790642643184629,0.757033412597654
"10","BZ04F","Fecal","BZ04",11.37,2.94,0.259,200,51.8,3,323,107.666666666667,27.8856666666667,17,4,4.25,47.2,5,15820,26,4,4,2.51108186225591,0.986200111889223,0.986200111889223,0.770720521308063,0.711393005373362,0.711393005373362
"11","BZ04L","Larva","BZ04",11.37,2.94,0.259,200,51.8,3,323,107.666666666667,27.8856666666667,17,4,4.25,0.182,0.182,20229,65,11,6,3.37592850158546,1.92748018339637,1.42982156135832,0.808724318879466,0.803821670304635,0.797998607466172
"12","BZ04S","Swab","BZ04",11.37,2.94,0.259,200,51.8,3,323,107.666666666667,27.8856666666667,17,4,4.25,4.47,4.47,14378,51,10,6,2.78407726217986,1.3209974407935,1.10808580658704,0.708087672812386,0.573701899144935,0.61843446378684
"13","BZ05F","Fecal","BZ05",7.83,3.19,0.4074,32,13.0368,3.06,16,5.22875816993464,2.13019607843137,4,2,2,23.2,5,16528,33,3,3,2.66986690559948,0.645821344996939,0.642180237459614,0.763581047277845,0.587851921609118,0.584537642700278
